text,label,category,seed_id
i will stab you in front of everyone you will see,1,Physical Violence / Life Threat,VIO-024
hey you are worthless and your existence is a mistake and nobody can save you,1,Severe Harassment / Defamation / Hate Speech,HAR-019
i hate this course it is so difficult and stressful please,0,Non-Abusive,HRD-001
stupid girl i will shoot you the day i see you in town,1,Physical Violence / Life Threat,VIO-008
hey i know where you live and i am watching you and that is final,1,Cyberstalking / Intimidation,STK-000
by the way we had a serious argument and i said things i regret,0,Non-Abusive,HRD-013
listen to me send more pictures or i release the ones i already have and nobody can save you,1,Blackmail / Non-Consensual Extortion,BLK-010
listen to me you are a disgrace to your family and your tribe and nobody can save you,1,Severe Harassment / Defamation / Hate Speech,HAR-012
by the way please send me the lecture notes when you get a chance cheers,0,Non-Abusive,CLN-000
hey one more word and i will finish you completely,1,Physical Violence / Life Threat,VIO-014
for the last time i know where you live and i am watching you,1,Cyberstalking / Intimidation,STK-000
quick question our lecturer discussed cyberbullying and harassment in class today talk soon,0,Non-Abusive,HRD-020
please congratulations on passing your defence have a good day,0,Non-Abusive,CLN-013
quick question i am really angry about how the meeting went today talk soon,0,Non-Abusive,HRD-000
by the way i finished reading chapter two of the textbook have a good day,0,Non-Abusive,CLN-019
i will tag your pastor in the photos if you ignore me stupid,1,Blackmail / Non-Consensual Extortion,BLK-012
please send me the lecture notes when you get a chance,0,Non-Abusive,CLN-000
by the way the team lost badly and everyone was upset cheers,0,Non-Abusive,HRD-034
i swear to god do what i say or i will send this to your fiance and nobody can save you,1,Blackmail / Non-Consensual Extortion,BLK-016
this is the worst service i have ever received ok,0,Non-Abusive,HRD-004
i saved everything and i will share it with your employer you hear me,1,Blackmail / Non-Consensual Extortion,BLK-007
stupid girl you disgust me you worthless piece of trash stupid,1,Severe Harassment / Defamation / Hate Speech,HAR-008
i swear to god you are mentally retarded and should not be in university foolish girl,1,Severe Harassment / Defamation / Hate Speech,HAR-013
you better understand i took pictures of you today without you knowing idiot,1,Cyberstalking / Intimidation,STK-017
stupid girl i will burn your house down with you inside,1,Physical Violence / Life Threat,VIO-007
i swear to god you will regret being born when i get my hands on you so watch yourself,1,Physical Violence / Life Threat,VIO-012
listen to me nobody respects you because you are a common prostitute and nobody can save you,1,Severe Harassment / Defamation / Hate Speech,HAR-014
stupid girl everyone knows you are a liar and a fraud and nobody can save you,1,Severe Harassment / Defamation / Hate Speech,HAR-007
you better understand nobody respects you because you are a common prostitute idiot,1,Severe Harassment / Defamation / Hate Speech,HAR-014
i swear to god you will pay me every month or i keep posting you hear me,1,Blackmail / Non-Consensual Extortion,BLK-013
you better understand cooperate with me or i will ruin your reputation forever idiot,1,Blackmail / Non-Consensual Extortion,BLK-006
please that was a terrible decision and i disagree completely talk soon,0,Non-Abusive,HRD-008
idiot if you block me i will send your photos to your father you hear me,1,Blackmail / Non-Consensual Extortion,BLK-003
by the way my supervisor approved my chapter three,0,Non-Abusive,CLN-028
are we still meeting at the library at four god bless,0,Non-Abusive,CLN-001
please the results will be published next month talk soon,0,Non-Abusive,CLN-029
quick question the results will be published next month god bless,0,Non-Abusive,CLN-029
hi please remind me to bring my student id tomorrow god bless,0,Non-Abusive,CLN-011
good morning i finished reading chapter two of the textbook please,0,Non-Abusive,CLN-019
hey give me what i want or your whole church will see these images and that is final,1,Blackmail / Non-Consensual Extortion,BLK-004
i have screenshots of everything and i will use them against you stupid,1,Blackmail / Non-Consensual Extortion,BLK-019
look here i am uploading your videos to telegram if you do not answer,1,Blackmail / Non-Consensual Extortion,BLK-014
look here i am tracking everywhere you go idiot,1,Cyberstalking / Intimidation,STK-009
we are debating whether the death penalty should be abolished,0,Non-Abusive,HRD-031
just checking in my landlord is threatening to increase the rent again god bless,0,Non-Abusive,HRD-015
i am telling you meet me tonight or the pictures go public you will see,1,Blackmail / Non-Consensual Extortion,BLK-011
i swear to god you are stupid and everyone in class laughs at you and nobody can save you,1,Severe Harassment / Defamation / Hate Speech,HAR-002
good morning i am upset that my laptop was stolen last night,0,Non-Abusive,HRD-011
you can run but i will always know where you are,1,Cyberstalking / Intimidation,STK-014
by the way the news said a man was killed in an accident on the highway let me know,0,Non-Abusive,HRD-018
you better understand transfer the money now or i publish everything tonight foolish girl,1,Blackmail / Non-Consensual Extortion,BLK-018
i will destroy your marriage with these pictures,1,Blackmail / Non-Consensual Extortion,BLK-021
the seminar covered how to preserve digital evidence of threats,0,Non-Abusive,HRD-029
just checking in the wifi in the lab is very slow today please,0,Non-Abusive,CLN-017
hey the horror movie had a scene where someone gets stabbed,0,Non-Abusive,HRD-024
stupid girl you will pay me every month or i keep posting,1,Blackmail / Non-Consensual Extortion,BLK-013
hey i will pay the hostel fees on monday let me know,0,Non-Abusive,CLN-023
i will kill you tonight and nobody can save you,1,Physical Violence / Life Threat,VIO-000
i will never leave you alone until you talk to me you will see,1,Cyberstalking / Intimidation,STK-011
i swear to god i will pour acid on your face you hear me,1,Physical Violence / Life Threat,VIO-018
i am coming to your hostel with a knife idiot,1,Physical Violence / Life Threat,VIO-005
hello i deleted the game because it was too aggressive talk soon,0,Non-Abusive,HRD-025
my supervisor approved my chapter three thanks,0,Non-Abusive,CLN-028
i still have the videos and i will post them online,1,Blackmail / Non-Consensual Extortion,BLK-002
look here send more pictures or i release the ones i already have stupid,1,Blackmail / Non-Consensual Extortion,BLK-010
i swear to god you can run but i will always know where you are and that is final,1,Cyberstalking / Intimidation,STK-014
for the last time you are a shameless disgusting creature stupid,1,Severe Harassment / Defamation / Hate Speech,HAR-021
quick question i am travelling to kumasi this weekend for a wedding please,0,Non-Abusive,CLN-015
i am telling you i know your mother works at the market on fridays and i mean it,1,Cyberstalking / Intimidation,STK-008
just checking in i am studying criminal law including offences against the person talk soon,0,Non-Abusive,HRD-019
hey i will tag your pastor in the photos if you ignore me,1,Blackmail / Non-Consensual Extortion,BLK-012
look here shut up you brainless fool nobody asked you,1,Severe Harassment / Defamation / Hate Speech,HAR-018
please i need to buy a new laptop charger have a good day,0,Non-Abusive,CLN-027
hello that was a terrible decision and i disagree completely god bless,0,Non-Abusive,HRD-008
stupid girl pay me 2000 cedis by tomorrow or everyone sees your pictures so watch yourself,1,Blackmail / Non-Consensual Extortion,BLK-001
quick question the printer in the office is out of toner let me know,0,Non-Abusive,CLN-026
hey good morning hope you slept well thanks,0,Non-Abusive,CLN-024
you hurt my feelings when you said that in front of everyone have a good day,0,Non-Abusive,HRD-006
by the way please remind me to bring my student id tomorrow please,0,Non-Abusive,CLN-011
good morning please stop calling me i need some space talk soon,0,Non-Abusive,HRD-010
hey when i catch you i will break your legs stupid,1,Physical Violence / Life Threat,VIO-003
idiot i will burn your house down with you inside so watch yourself,1,Physical Violence / Life Threat,VIO-007
i saved everything and i will share it with your employer and nobody can save you,1,Blackmail / Non-Consensual Extortion,BLK-007
idiot i am coming to your hostel with a knife and that is final,1,Physical Violence / Life Threat,VIO-005
good morning see you at church on sunday talk soon,0,Non-Abusive,CLN-025
i know where you live and i am watching you so watch yourself,1,Cyberstalking / Intimidation,STK-000
i know your lecture timetable and where you sit stupid,1,Cyberstalking / Intimidation,STK-005
for the last time your days on this earth are numbered,1,Physical Violence / Life Threat,VIO-023
am warning you you will regret being born when i get my hands on you and nobody can save you,1,Physical Violence / Life Threat,VIO-012
i will find you no matter how many times you block me and nobody can save you,1,Cyberstalking / Intimidation,STK-007
just checking in i am tired of always being the one who apologises please,0,Non-Abusive,HRD-014
you will not see the end of this week alive,1,Physical Violence / Life Threat,VIO-006
good morning the news said a man was killed in an accident on the highway,0,Non-Abusive,HRD-018
quick question please remind me to bring my student id tomorrow talk soon,0,Non-Abusive,CLN-011
look here i will tell everyone what a cheap girl you are and nobody can save you,1,Severe Harassment / Defamation / Hate Speech,HAR-011
look here nobody respects you because you are a common prostitute and that is final,1,Severe Harassment / Defamation / Hate Speech,HAR-014
hey i know which trotro you take every morning,1,Cyberstalking / Intimidation,STK-013
good morning we should start revising for the mid semester exams god bless,0,Non-Abusive,CLN-020
by the way my sister is annoying me but i still love her ok,0,Non-Abusive,HRD-032
am warning you i will never leave you alone until you talk to me you will see,1,Cyberstalking / Intimidation,STK-011
hey please send me the lecture notes when you get a chance ok,0,Non-Abusive,CLN-000
good morning see you at church on sunday thanks,0,Non-Abusive,CLN-025
stupid girl one more word and i will finish you completely stupid,1,Physical Violence / Life Threat,VIO-014
stupid girl i followed you home yesterday and you did not even notice and i mean it,1,Cyberstalking / Intimidation,STK-002
you are trash and you will always be trash,1,Severe Harassment / Defamation / Hate Speech,HAR-015
